_id,type,level,miliseconds,action
576,22,43,1.58E+12,No
577,22,56,1.58E+12,No
578,22,40,1.58E+12,No
579,4,50,1.58E+12,No
580,5,40,1.58E+12,No
581,22,36,1.58E+12,No
582,22,63,1.58E+12,Stop
583,22,61,1.58E+12,Stop
584,4,35,1.58E+12,No
585,5,30,1.58E+12,No
586,22,62,1.58E+12,Stop
587,4,43,1.58E+12,No
588,5,35,1.58E+12,No
589,22,48,1.58E+12,No
590,22,38,1.58E+12,No
591,22,39,1.58E+12,No
592,4,44,1.58E+12,No
593,5,43,1.58E+12,No
594,4,54,1.58E+12,No
595,5,47,1.58E+12,No
596,22,38,1.58E+12,No
597,4,56,1.58E+12,No
598,5,53,1.58E+12,No
599,4,44,1.58E+12,No
600,5,50,1.58E+12,No
601,22,35,1.58E+12,No
602,4,60,1.58E+12,Fwd
603,5,43,1.58E+12,No
604,4,51,1.58E+12,No
605,5,43,1.58E+12,No
606,22,40,1.58E+12,No
607,4,53,1.58E+12,No
608,5,35,1.58E+12,No
609,22,43,1.58E+12,No
610,22,42,1.58E+12,No
611,4,56,1.58E+12,No
612,5,21,1.58E+12,No
613,22,38,1.58E+12,No
614,22,39,1.58E+12,No
615,4,44,1.58E+12,No
616,5,23,1.58E+12,No
617,22,39,1.58E+12,No
618,4,56,1.58E+12,No
619,5,21,1.58E+12,No
620,22,40,1.58E+12,No
621,4,64,1.58E+12,Fwd
622,5,17,1.58E+12,No
623,4,80,1.58E+12,Fwd
624,5,37,1.58E+12,No
625,22,40,1.58E+12,No
626,22,42,1.58E+12,No
627,4,100,1.58E+12,Fwd
628,5,29,1.58E+12,No
629,4,93,1.58E+12,Fwd
630,5,38,1.58E+12,No
631,22,39,1.58E+12,No
632,22,40,1.58E+12,No
633,4,78,1.58E+12,Fwd
634,5,56,1.58E+12,No
635,4,87,1.58E+12,Fwd
636,5,44,1.58E+12,No
637,4,67,1.58E+12,Fwd
638,5,41,1.58E+12,No
639,4,74,1.58E+12,Fwd
640,5,40,1.58E+12,No
641,4,91,1.58E+12,Fwd
642,5,35,1.58E+12,No
643,4,64,1.58E+12,Fwd
644,5,27,1.58E+12,No
645,4,61,1.58E+12,Fwd
646,5,30,1.58E+12,No
647,4,63,1.58E+12,Fwd
648,5,30,1.58E+12,No
649,4,61,1.58E+12,Fwd
650,5,24,1.58E+12,No
651,4,74,1.58E+12,Fwd
652,5,44,1.58E+12,No
653,4,90,1.58E+12,Fwd
654,5,53,1.58E+12,No
655,22,32,1.58E+12,No
656,4,83,1.58E+12,Fwd
657,5,41,1.58E+12,No
658,4,78,1.58E+12,Fwd
659,5,44,1.58E+12,No
660,4,84,1.58E+12,Fwd
661,5,41,1.58E+12,No
662,22,37,1.58E+12,No
663,4,77,1.58E+12,Fwd
664,5,38,1.58E+12,No
665,22,41,1.58E+12,No
666,4,75,1.58E+12,Fwd
667,5,50,1.58E+12,No
668,4,69,1.58E+12,Fwd
669,5,69,1.58E+12,Left
670,4,64,1.58E+12,Fwd
671,5,70,1.58E+12,Left
